Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
SUNSHINE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,NAKURU,NAKURU,MOLO,MOLO,MOLO,"(-0.24146, 35.73052)",
BRIGHT FUTURE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.8,8.8,17.7,6,2,1,0,1,0,0,53,0,0,0,0,0,0,3,3,0,0,CENTRAL,MURANG'A,MARAGUA,KIGUMO,KINYONA,KIGUMO,"(-0.763529444, 36.86900917)",
SERA JOY ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.3,8.3,12.5,3,1,1,0,1,0,0,25,0,0,0,0,1,3,0,0,0,0,WESTERN,BUSIA,BUSIA,FUNYULA,NANGUBA,FUNYULA,"(0.226739, 34.023289)",
LIGHT ANGEL ACADEMY  PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,5.1,4,12,9,1,2,4,1,18,18,36,0,0,0,0,0,0,4,3,0,1,CENTRAL,KIAMBU,THIKA,RUIRU,RUIRU,JUJA,"(-1.209816, 36.932894)",
GLORYBELL PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.1,13.5,20.3,6,2,2,5,1,84,81,81,0,0,0,0,0,0,1,9,0,0,CENTRAL,KIAMBU,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,JUJA,"(-1.059583333, 37.10977778)",
WISE SHEPHERED ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.3,5.2,5.2,16,8,8,18,2,40,43,83,0,0,0,0,0,0,5,5,0,2,CENTRAL,KIAMBU,THIKA,KAMWANGI,CHANIA,GATUNDU NORTH,"(-0.955027, 36.895713)",
BABS RIDGE ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.3,13.1,30.7,7,1,2,0,1,0,0,92,0,0,0,0,0,0,6,0,1,0,COAST,KILIFI,KILIFI,KALOLENI,MARIAKANI,KALOLENI,"(-3.853965, 39.473398)",
MOUNTAIN ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,SOY,ELDORET NORTH,SOY,"(0.68225, 35.211683)",
UJENZI PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CENTRAL - TRANS NZOIA,SABOTI,MUNICIPALITY,"(1.028543, 34.986804)",
EWASO NYIRO ELITE 'B' PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,20.3,28.4,17.8,5,4,4,0,2,0,0,142,0,0,0,0,0,0,6,1,8,12,RIFT VALLEY,LAIKIPIA,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,"(0.03958, 36.34778)",
MWAMBA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22.8,31.4,35.9,8,3,4,0,2,0,0,251,0,0,0,0,0,0,3,8,2,3,COAST,MOMBASA,MOMBASA,KISAUNI,KONGOWEA,KISAUNI,"(-4.03899, 39.68889)",
PRESTIGE ELITE JUNIOR ACADEMY-PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.1,13.1,17.5,8,3,3,0,1,0,0,105,0,0,0,0,0,0,5,3,5,1,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,KAYOLE,EMBAKASI,"(-1.267111, 36.920381)",
MAMA GEMMA M. ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16,12.4,56,9,1,1,0,1,0,0,112,0,0,0,0,3,4,0,0,0,0,COAST,KILIFI,MALINDI,MAGARINI,MAGARINI,MAGARINI,"(-3.11729, 40.15974)",
AUGUSTANA ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,SPECIAL SCHOOL,1.5,3,3,6,3,3,0,1,0,0,18,0,0,0,0,0,0,7,5,13,8,NAIROBI,NAIROBI,NAIROBI,WESTLANDS,KILIMANI,WESTLANDS,"(-1.272992, 36.783824)",
ARISE AND SHINE ACADEMY ZIWA PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,0,21.7,16.3,12,8,8,0,4,0,0,260,0,0,0,0,0,0,0,0,10,9,RIFT VALLEY,UASIN GISHU,UASIN GISHU,SOY,ELDORET NORTH,ZIWA,"(0.843887, 35.201231)",
AL-FAT'IHAH ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,24,24,18,6,4,4,0,2,0,0,144,0,0,0,0,0,0,2,4,2,3,COAST,MOMBASA,MOMBASA,ISLAND,TONONOKA,MVITA,"(-4.04627, 39.66782)",
JOYLAND ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,27,20.3,14.7,8,4,7,0,3,0,0,162,0,0,0,0,0,0,1,5,1,3,RIFT VALLEY,UASIN GISHU,UASIN GISHU,TURBO,ELDORET NORTH,KAPYEMIT,"(0.553809, 35.237152)",
BETHANY JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4,2,4,2,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,1,COAST,KILIFI,MALINDI,MALINDI,WATAMU,MALINDI,"(-3.3469, 40.01129)",
SPRINGBOARD PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,23,32.9,20.9,7,5,6,0,2,0,0,230,0,0,0,0,0,0,7,3,7,4,WESTERN,BUSIA,BUSIA,MATAYOS,BUKHAYO WEST,NAMBALE,"(0.400102595, 34.14140911)",
JUTER ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,10.3,12.1,17.4,23,8,8,0,1,0,0,279,0,0,0,0,0,0,12,15,3,1,CENTRAL,KIAMBU,THIKA,RUIRU,RUIRU,JUJA,"(-1.213697, 36.922397)",
WEMA ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN,KAKAMEGA,KAKAMEGA,SHINYALU,KHAYEGA,SHINYALU,"(0.20559, 34.77147)",
DUNJOS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.3,14,14,8,4,4,0,1,0,0,112,0,0,0,0,0,0,5,7,2,2,CENTRAL,NYERI,NYERI,MATHIRA,RUGURU,MATHIRA,"(-0.384589, 37.086023)",
KIBURU ROAD PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.8,12.3,24.5,8,2,2,0,2,0,0,98,0,0,0,0,0,0,3,7,1,1,CENTRAL,NYANDARUA,NYANDARUA,SOUTH KINANGOP,NJABINI,KINANGOP,"(-0.726083611, 36.66400917)",
BLESSLAND PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4,3.5,0,8,0,0,0,0,0,0,28,0,0,0,0,0,0,1,6,1,2,CENTRAL,NYANDARUA,NYANDARUA,OL KALOU,NGORIKA,OL_KALOU,"(-0.30086472, 36.22582528)",
MALEZI SCHOOL PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,9.4,10.9,8.2,12,8,8,0,2,70,61,131,0,0,0,0,0,0,4,10,3,5,NAIROBI,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA,"(-1.318627, 36.787432)",
MORNING STAR PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16,16,2,4,16,16,0,1,0,0,64,0,0,0,0,0,0,0,4,1,2,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,BAHATI,"(-0.252427, 36.110837)",
BUMALA ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.3,13.1,23,7,2,2,0,2,0,0,92,0,0,0,0,0,0,3,3,1,3,WESTERN,BUSIA,BUSIA,BUTULA,BUMALA,BUTULA,"(0.310069, 34.199772)",
CHEPTOROI PRIMARY  SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,73.5,53.1,53.1,18,6,12,0,2,0,0,955,6,7,0,0,0,0,0,0,1,1,RIFT VALLEY,NAKURU,NAKURU,NJORO,MOLO,NJORO,"(-0.36818, 35.902335)",
METKEI ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.3,4.3,8.5,4,1,1,0,1,0,0,17,0,0,0,0,0,0,0,4,0,1,RIFT VALLEY,UASIN GISHU,UASIN GISHU,AINABKOI,ELDORET EAST,OLARE,"(0.202501, 35.46813)",
CHEMWAY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,3,4,3,1,WESTERN,BUNGOMA,MT ELGON,KOPSIRO,KAPKATENY,MT ELGON,"(0.821245, 34.592364)",
CENTRAL ACADEMY CHEMUSWA,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.5,28.7,43,3,1,1,0,0,0,0,86,0,0,0,0,0,0,4,0,1,2,RIFT VALLEY,NANDI,NANDI NORTH,KAPSABET,EMGWEN,KAMOIYWO,"(0.34307, 35.11642)",
ST JULIUS PRIMARY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA,"(-1.309856, 36.783821)",
ROCK OF AGES ACADEMY PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,23.8,63.3,95,3,1,1,0,2,0,0,190,0,0,0,0,0,0,6,2,3,1,COAST,KWALE,KWALE,SAMBURU,TARU,KINANGO,"(-3.751262, 39.1383)",
THE BRILLIANT PRIMARY SCHOOL,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.9,10.9,10.9,8,4,4,0,1,0,0,87,0,0,0,0,0,0,4,7,2,2,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KARAI,KABETE,"(-1.27548, 36.63675)",
DIMBWINI  JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22,11,22,12,3,3,0,2,0,0,132,0,0,0,0,0,0,2,4,1,1,COAST,MOMBASA,MOMBASA,LIKONI,LIKONI,LIKONI,"(-4.08442, 39.64723)",
LELECHWET PRIMARY,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,52.1,58.6,67,8,2,5,0,2,0,0,469,6,3,0,0,0,0,0,0,1,0,RIFT VALLEY,BOMET,NAKURU,RONGAI,RONGAI,BOROR,"(-0.2207, 35.826291)",
MENGECH ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,SOY,ELDORET NORTH,ZIWA,"(0.850555, 35.248264)",
FOUNDATION OF HOPE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.6,9.3,12.3,8,3,3,0,1,0,0,74,0,0,0,0,0,0,7,0,0,0,CENTRAL,MURANG'A,MARAGUA,KANDARA,ITHIRU,KANDARA,"(-0.868534, 36.989156)",
EMMAUS JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COAST,MOMBASA,MOMBASA,LIKONI,LIKONI,LIKONI,"(-4.0914, 39.66803)",
THE OASIS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5.7,6.8,17,5,1,1,0,0,0,0,34,0,0,0,0,2,4,0,0,1,1,WESTERN,BUSIA,BUSIA,BUTULA,ELUKHARI,BUTULA,"(0.33674, 34.33448)",
DAGORETTI YOUTH CENTER PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,45.3,51,102,8,2,2,0,1,0,0,408,0,0,0,0,0,0,5,4,4,1,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,RIRUTA,DAGORETTI,"(-1.30161, 36.73261)",
BELLEVUE PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING ONLY,ORDINARY,15.8,20.8,18.8,19,11,10,0,5,199,196,395,0,0,0,0,0,0,8,17,16,7,NAIROBI,NAIROBI,NAIROBI,KIBERA,NAIROBI WEST,LANGATA,"(-1.320852, 36.825927)",
ST. DAVID PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,36.7,68.9,68.9,8,4,4,0,1,0,0,551,0,0,0,0,0,0,12,3,2,0,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.02252, 39.67955)",
ST CECILIA ACDEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13,13,32.5,5,1,1,0,0,0,0,65,0,0,0,0,2,3,0,0,0,1,CENTRAL,NYERI,NYERI,MUNICIPALITY,MUKARO,NYERI TOWN,"(-0.423297, 36.931524)",
MWAGOSI ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COAST,MOMBASA,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,"(-4.02225, 39.60647)",
NAIROBI ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.1,11.5,15.3,8,3,3,0,2,51,41,92,0,0,0,0,0,0,3,10,0,0,NAIROBI,NAIROBI,NAIROBI,KIBERA,LANGATA,LANGATA,"(-1.337542, 36.750791)",
DAISSTI VISION PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.4,6.4,35,11,1,1,0,1,0,0,70,0,0,0,0,0,0,4,7,1,2,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,NGERIA,"(0.386812, 35.271086)",
DAYSPRING ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,18.1,21.2,25.4,12,4,6,14,4,148,106,254,0,0,0,0,0,0,5,9,6,5,CENTRAL,KIAMBU,THIKA,RUIRU,JUJA,JUJA,"(-1.09284, 37.028459)",
BUSARA PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,PIONEER,"(0.512982, 35.269502)",
BABY SHINES ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.5,2.5,5,4,1,1,0,1,0,0,10,0,0,0,0,0,0,0,4,0,1,WESTERN,VIHIGA,VIHIGA,VIHIGA,MUNGOMA,VIHIGA,"(0.03322, 34.65876)",
PRECIOUS CORNER STONE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,6,9,0,4,0,0,0,0,1,0,36,0,0,0,0,0,0,1,5,1,1,CENTRAL,KIAMBU,THIKA,RUIRU,RUIRU,JUJA,"(-1.127843, 36.950074)",
EFFORT JNR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9,9,3,1,2,1,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,CENTRAL,KIAMBU,KIAMBU,GITHUNGURI,IKINU,GITHUNGURI,"(-1.09563, 36.76584)",
NAROMORU VICTORY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,18.1,29.8,21.1,17,12,12,0,6,0,0,506,0,0,0,0,0,0,14,14,0,0,CENTRAL,NYERI,NYERI,KIENI EAST,NAROMORU,KIENI,"(-0.18584, 37.05738)",
BY GRACE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.6,8.6,0,5,0,0,0,0,0,0,43,0,0,0,0,0,0,5,0,0,0,CENTRAL,MURANG'A,MARAGUA,KANDARA,GAICHANJIRU,KANDARA,"(-0.884443, 37.053045)",
HILLSIDE ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COAST,MOMBASA,MOMBASA,CHANGAMWE,MIRITINI,CHANGAMWE,"(-3.99758, 39.60588)",
ST GEORGES MUTHUITI BAHATI PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.9,20.2,27.8,11,4,4,0,2,0,0,222,0,0,0,0,0,0,9,5,4,4,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,BAHATI,"(-0.162351, 36.119713)",
AGBON ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.8,27.3,25.4,13,8,6,0,2,190,165,355,0,0,0,0,0,0,9,11,10,6,NAIROBI,NAIROBI,NAIROBI,MAKADARA,MARINGO,MAKADARA,"(-1.295997, 36.85729)",
KING KIDS TECHNICAL SCHOOL - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,KAHAWA,KASARANI,"(-1.184356, 36.906607)",
SACRED HILL CHILDREN'S CENTRE - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,GITHURAI,KASARANI,"(-1.205452, 36.895484)",
CHEMNOET ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,18.7,22.4,22.4,5,2,3,0,1,0,0,112,0,0,0,0,0,0,3,3,1,1,RIFT VALLEY,NANDI,NANDI NORTH,KABIYET,MOSOP,LOLKERINGET,"(0.47017, 35.06615)",
SITA HIDDEN ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,9.4,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,7,1,2,1,COAST,KILIFI,MALINDI,MALINDI,GEDE,MALINDI,"(-3.32376, 39.99624)",
NEW JERUSALEMACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,KASARANI,"(-1.246922, 36.883077)",
FAITH IS VICTOTRY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.2,8.2,6.8,5,3,3,0,1,0,0,41,0,0,0,0,0,0,3,2,0,2,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CENTRAL - TRANS NZOIA,SABOTI,KIBOMET,"(1.019014, 35.042646)",
WINNERS ACADEMY KARUMANDI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.9,18.5,22.2,6,2,3,0,1,0,0,111,0,0,0,0,0,0,3,4,1,2,CENTRAL,KIRINYAGA,KIRINYAGA,GICHUGU,KARUMANDI,GICHUGU,"(-0.448789, 37.346024)",
PURPOSEFUL JUNIOR SCHOOL,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,DANDORA,EMBAKASI,"(-1.243547, 36.911214)",
KALANGI HVD PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.1,24.5,32.7,8,3,3,0,2,0,0,196,0,0,0,0,0,0,5,8,1,1,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,PIONEER,"(0.48532, 35.251961)",
EPICO JAHNS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,31.1,43.6,27.3,5,4,4,0,2,0,0,218,0,0,0,0,5,2,0,0,7,4,WESTERN,BUNGOMA,BUNGOMA,BUMULA,KABULA,BUMULA,"(0.483569, 34.521139)",
ELICE JUNIOR ACADEMY PRIM,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,19.8,23.5,32.3,11,3,5,0,2,0,0,258,0,0,0,0,0,0,7,6,5,2,CENTRAL,MURANG'A,MARAGUA,MARAGUA,MUTHITHI,KIGUMO,"(-0.841664, 37.094505)",
LIGHT HOUSE ACADEMY LANGAS PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,11.4,9.5,28.5,6,1,1,0,1,0,0,57,0,0,0,0,0,0,0,5,0,2,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,PIONEER,"(0.47908, 35.252204)",
JUA JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.7,15.4,30.8,8,2,2,0,1,0,0,123,0,0,0,0,0,0,3,6,1,3,CENTRAL,KIRINYAGA,KIRINYAGA,MWEA,NYANGATI,MWEA,"(-0.617917, 37.364227)",
RIVER OF LIFE INTERNATIONAL ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,RUARAKA,KASARANI,"(-1.248858, 36.873317)",
SHEPHERED PREPARATORY ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN,KAKAMEGA,LUGARI,LUGARI,LUMAKANDA,LUGARI,"(0.63588, 35.01764)",
BAMBINO ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,5,3,3,0,3,0,0,0,0,0,0,0,0,0,3,4,1,2,COAST,KILIFI,KILIFI,KIKAMBALA,MTWAPA,BAHARI,"(-3.943292, 39.751667)",
BLUESKY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,31.4,35.4,0,8,0,0,0,0,0,0,283,0,0,0,0,0,0,4,5,1,3,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,KAYOLE,EMBAKASI,"(-1.263835, 36.918769)",
LITTLE ROSES PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.9,13.2,14.9,9,4,4,0,2,0,0,119,0,0,0,0,0,0,4,4,4,1,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,KABAZI,"(-0.05371, 36.1839)",
EXETER ACADEMY COMPLEX - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.6,10.4,13,10,4,4,0,2,48,56,104,0,0,0,0,0,0,3,6,2,2,NAIROBI,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,"(-1.231707, 36.932381)",
EMBAKASI PREBYSTERIAN ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,EMBAKASI,"(-1.301684, 36.914791)",
